name,entries/usernames,entries/emails,breach_date
LeKoolGames.com,2005509,0,2020-01-00
BellTreeForums.com,49275,51753,2016-00-00
IllegalPlanet.com,440,449,2020-06-00
Dirtycode.io,16910,21794,2020-06-00
PlanetCalypso.com,43092,43907,2019-07-01
MeFeedia.com,0,2126054,2020-05-00
SwordFantasy,1629101,1670449,2017-00-00
HackForums.net,117267,124415,2011-06-25
Gigasize.com,0,1886070,0000-00-00
DayCrafts.ru,39374,40797,2016-11-00
Tamodo.com,0,4140,2020-02-00
TGBUS.com,7184454,5486368,2017-00-00
Mac-forums.com,104357,106379,2016-07-00
Forum.Warmane.com,870150,879506,2016-12-00
Alora.io,0,95839,2018-00-00
Forum.excalibur-craft.ru,238525,0,2016-00-00
Kvadroom.ru,0,17580,2019-12-00
Gaadi.com,143944,158593,2015-05-00
Pokémon Negro,0,784484,2016-10-00
xHamster.com,0,356113,2013-07-00
XRP.io,0,673,2020-07-01
1xbet.com,0,74770,0000-00-00
ElementalGame.com,2076170,2107036,2013-00-00
OnthiOnline.net,0,176527,2017-00-00
Sinlyxe.cc,523,306,2020-07-00
WiiHacks.com,402343,903697,2013-09-00
Taobao.com,0,14744657,2012-01-01
7k7k.com,0,7369465,2011-01-01
Wattpad.com,26676767,272476329,2020-06-00
Stressing.ninja,2316,2492,2020-03-21
Catho.com,705506,1194381,2020-03-00
Diet.com,0,26981,2014-08-00
AlpineReplay.com,205712,265697,2020-07-00
RewardStyle.com,0,55393,2020-07-00
LiveAuctioneers.com,0,2892228,2020-07-00
Jardcs.org,0,4723,2020-07-00
Omaze.com,0,31955,2020-07-00
VampireFreaks.com,898060,999966,2019-00-00
Hurb.com,0,4512879,2020-07-00
Dave.com,0,211147,2020-06-28
Scentbird.com,0,744758,2020-07-00
Promo.com,0,1369361,2020-06-22
Havenly.com,0,445122,2020-06-00
TrueFire.com,539738,566115,2020-06-00
Chatbooks.com,0,1191682,2020-06-00
Indabamusic.com,0,475174,2020-07-00
Ivoy.mx,0,109729,2020-07-00
Gamers.nu,73855,86053,2012-00-00
Appen.com,0,1491,2020-07-00
Proctoru.com,0,95287,2020-07-00
Vakinha.com.br,0,82106,2020-07-00
Swvl.com,0,153496,2020-07-00
Drizly.com,0,363487,2020-07-00
BeyondUnreal,0,14600,2018-00-00
Ggunim.co.kr,0,147256,2020-07-00
WifeLovers.com,0,1005884,2018-00-00
IngjieSheng.com,0,725747,0000-00-00
Weibo.com,0,3025855,2011-00-00
AtzenShop.de,0,26751,2020-08-00
GamerSoul.com,0,62498,2020-05-00
Forums.SoarGames.com,534430,573204,2019-12-00
Telefon-Treff.de,0,165153,2020-07-00
Forum.Nicemc.ru,0,40725,2017-01-27
iCracked.com,0,9168,0000-00-00
Patreon.com,0,192257,2015-10-02
Scriptnull.com,0,32315,0000-00-00
LeakPeek.com,0,658,2020-08-00
ShockGore.com,0,37448,0000-00-00
DataCamp.com,0,59649,2017-01-30
Plibber.ru,0,320057,0000-00-00
UnicoCampania.it,0,163919,2020-01-00
UtahGunExchange.com,0,11870,2020-08-00
Pampling.com,0,342143,2020-01-00
Joygame.com,0,624880,2020-01-00
Heavy-R.com,0,121030,2020-00-00
StreamCraft.net,424550,494334,2020-07-00
m4maths.com,0,1074189,2020-08-00
Xado.us,0,11344,2020-09-16
ZooVille.org,0,8300,2019-09-00
Quidd.co (2020),0,237321,2020-00-00
Homechef.com,0,535531,2019-00-00
Braingenie.ck12.org,0,115207,2019-00-00
HelloTravel.com,0,6359,2020-00-00
bbicecream.com,0,63777,2015-10-00
ActionNetwork.com,0,100526,2019-12-00
AntiAgent.ru,0,52575,2020-09-00
LongFiles.com,0,41739,2020-01-00
Photohost.ru,0,19236,0000-00-00
vstomp.hotoneaudio.com,0,17896,0000-00-00
BrandNewTube.com,86992,90145,2020-10-10
Sweclockers.nu,119960,125419,2015-06-00
Piggyback.com,0,393169,0000-00-00
VimeWorld.ru,4346599,4467553,2018-00-00
Prospero.ru,17896,21026,2020-10-00
Rematazo.com,0,430741,2020-00-00
Esports.pl,39672,45542,0000-00-00
PromoFarma.com,0,537790,2019-08-00
StarTribune.com,37758,54634,2020-10-00
Minted.com,0,4737970,2020-02-00
TheWinkStore.com,0,225628,2020-10-30
