leakname,entries,source
Abandonia.com (Nov 2015),782609,dataviper.io
rhod island voters 2019,780490,dataviper.io
Warframe.com (Mar 2016),775773,dataviper.io
BlackHatWorld.com (Jun 2014),773968,dataviper.io
forumcommunity,773337,dataviper.io
2018 voters Rhode Island,770422,dataviper.io
Swappernet.com,765573,dataviper.io
PassionsNetwork.com,762367,dataviper.io
TheWarInc.com,761972,dataviper.io
Dojoapp.co,761910,dataviper.io
DataCamp.com,760528,dataviper.io
hltv.sql,756607,dataviper.io
adihk.qht.az,755874,dataviper.io
jeux-fille-gratuit.com,753842,dataviper.io
m.onthionline.net,750760,dataviper.io
Klerk.ru (Mar 2014),750065,dataviper.io
paddypower,750000,dataviper.io
Wildstart DB,742386,dataviper.io
Android Forums,742293,dataviper.io
Asterios.tm,739502,dataviper.io
excaliburcraft,737726,dataviper.io
community.hitlab.com,733090,dataviper.io
corevin.com,732521,dataviper.io
Filmow.com,728175,dataviper.io
Livspace,727105,dataviper.io
RussianMobile,722053,dataviper.io
highend cell phones,720459,dataviper.io
gpsunderground.com (10-2019) new,719032,dataviper.io
212300.com (Nov 2012),710225,dataviper.io
funny-games.biz,708209,dataviper.io
Programmingforums.com,707856,dataviper.io
www.shertonenglish.com,705171,dataviper.io
Neteller,703303,dataviper.io
www.eweiqi.com,702635,dataviper.io
Gamster SkyWars,702562,dataviper.io
rekrute.com,702010,dataviper.io
hongfire.com,701323,dataviper.io
Qiannao.com (Jun 2010),699669,dataviper.io
peopleorg,695548,dataviper.io
Foodora,694388,dataviper.io
actionnetwork.com,693529,dataviper.io
Policeone.com,693250,dataviper.io
www.aqad.in,691533,dataviper.io
ekt-city.ru,677599,dataviper.io
Evgexacraft,677076,dataviper.io
Carding Mafia,675762,dataviper.io
www.wonderpolls.com,673572,dataviper.io
WiiHacks.com (Sep 2013),672442,dataviper.io
Libero.it (Jul 2016),667280,dataviper.io
666kemailuser,665421,dataviper.io
BritishSexContacts.com,660268,dataviper.io
bitrewards creds,658414,dataviper.io
PSXScene,657946,dataviper.io
travel4.innolife.net,657206,dataviper.io
gpsunderground.com,656147,dataviper.io
ryseforums.com (09-2019),646236,dataviper.io
K-Vrachu.ru (Oct 2016),645103,dataviper.io
Dominos.com (June 2016),644266,dataviper.io
forums.capitalgames.com,643814,dataviper.io
CapitalGames.com (Nov 2015),641213,dataviper.io
ir.chartnexus.com,639163,dataviper.io
hthstudios.com,636251,dataviper.io
ddo.com,634033,dataviper.io
www.naturalendo.com,627501,dataviper.io
ffshrine.org,620575,dataviper.io
www.koka36.de,618227,dataviper.io
morele.net,614970,dataviper.io
www.prima-finden.de,611613,dataviper.io
WebHostingTalk.com,611018,dataviper.io
MortalOnline.com,609271,dataviper.io
www.gincv.com,607712,dataviper.io
Pokebip.com (Oct 2015),604531,dataviper.io
vobu.com.ua sha-1 2020,604282,dataviper.io
