dump_name,breach_date,record_count,source,info
Jobringer.com,,232797,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
GameSalad.com,,894938,Hashmob,SHA2-256
bella-semena.ru,,43268,Hashmob,"osCommerce, xt:Commerce"
netdoktorpro.se,,2615,Hashmob,SHA1
Hjedd.com,,12739823,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
assoc.pension.bg,,55474,Hashmob,MD5
Text.ru,,3347820,Hashmob,MD5
devx,,47816,Hashmob,vBulletin < v3.8.5
deshhosting.com,,131,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Battlefy.com,,81783,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
1fj.ru mysql5,,85,Hashmob,MySQL4.1/MySQL5
1fj.ru,,1917,Hashmob,MySQL323
Battlefy.com sha1,,7766,Hashmob,sha1($salt.$pass)
rosasidan.ws,,54312,Hashmob,MD5
jdbbx.com,,2690080,Hashmob,MD5
smarthome.rt.ru,,262074,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
cardingmafia2017,,232494,Hashmob,vBulletin < v3.8.5
blogtoppen.se,,70880,Hashmob,MD5
VimeWorld.ru bcrypt,,402461,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Benchmark.pl (bcrypt),,58128,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
cardingmaestro,,170995,Hashmob,vBulletin < v3.8.5
webhostingtalk,,600884,Hashmob,vBulletin >= v3.8.5
nordicgames,,157680,Hashmob,vBulletin < v3.8.5
thegooddrugsguide,,80125,Hashmob,vBulletin < v3.8.5
wordlmap,,70541,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
