Database Name,Database DL Link,Database URL Source,Captcha,Direct
http://bysmile.com,http://siph0n.net/exploits.php?id=4219,http://siph0n.net/leaks.php?page=8,,
http://c-team.org,http://siph0n.net/exploits.php?id=4267,http://siph0n.net/leaks.php?page=7,,
http://c4forums.com,http://siph0n.net/exploits.php?id=4194,http://siph0n.net/leaks.php?page=8,,
http://cad.go.th,http://siph0n.net/exploits.php?id=4147,http://siph0n.net/leaks.php?page=8,,
http://calcalit-tamar.co.il,http://siph0n.net/exploits.php?id=3787,http://siph0n.net/leaks.php?page=11,,
http://calldubaiescorts.com,http://siph0n.net/exploits.php?id=4253,http://siph0n.net/leaks.php?page=7,,
http://canada-ifs.com,http://siph0n.net/exploits.php?id=3623,http://siph0n.net/leaks.php?page=12,,
http://canada-ils.com,http://siph0n.net/exploits.php?id=3631,http://siph0n.net/leaks.php?page=12,,
http://cannabis.com (old),http://siph0n.net/exploits.php?id=4131,http://siph0n.net/leaks.php?page=8,,
http://careerlabs.com,http://siph0n.net/exploits.php?id=4934,http://siph0n.net/leaks.php,,
http://carlsonrezidor.com - 42k Emails,http://siph0n.net/exploits.php?id=1193,http://siph0n.net/leaks.php?page=13,,
http://casus-belli.co.uk,http://siph0n.net/exploits.php?id=3690,http://siph0n.net/leaks.php?page=11,,
http://cdoapps.haverford.edu/student/jobalert/deta,http://siph0n.net/exploits.php?id=1129,http://siph0n.net/leaks.php?page=14,,
http://chacao.gob.ve,http://siph0n.net/exploits.php?id=4042,http://siph0n.net/leaks.php?page=9,,
http://chickencycles.co.uk,http://siph0n.net/exploits.php?id=4276,http://siph0n.net/leaks.php?page=7,,
http://chilisuae.com,http://siph0n.net/exploits.php?id=4724,http://siph0n.net/leaks.php?page=3,,
http://chooseby.com,http://siph0n.net/exploits.php?id=4307,http://siph0n.net/leaks.php?page=7,,
http://cmp2.drbatras.ae,http://siph0n.net/exploits.php?id=4800,http://siph0n.net/leaks.php?page=2,,
http://cobranet.org,http://siph0n.net/exploits.php?id=3774,http://siph0n.net/leaks.php?page=11,,
http://cocobod.gh,http://siph0n.net/exploits.php?id=4232,http://siph0n.net/leaks.php?page=7,,
http://codemasters-project.net,http://siph0n.net/exploits.php?id=4387,http://siph0n.net/leaks.php?page=6,,
http://coimbatorecitypolice.com,http://siph0n.net/exploits.php?id=3565,http://siph0n.net/leaks.php?page=12,,
http://comecyt.miranda.gob.ve/,http://siph0n.net/exploits.php?id=1101,http://siph0n.net/leaks.php?page=14,,
http://comicbookdb.com - 50k plaintext,http://siph0n.net/exploits.php?id=3550,http://siph0n.net/leaks.php?page=13,,
http://condusef.gob.mx,http://siph0n.net/exploits.php?id=4538,http://siph0n.net/leaks.php?page=5,,
http://cpusa.org,http://siph0n.net/exploits.php?id=3830,http://siph0n.net/leaks.php?page=10,,
http://craftact.org.au,http://siph0n.net/exploits.php?id=4728,http://siph0n.net/leaks.php?page=3,,
http://crush007.co.uk,http://siph0n.net/exploits.php?id=4607,http://siph0n.net/leaks.php?page=4,,
http://csgameservs.com,http://siph0n.net/exploits.php?id=3820,http://siph0n.net/leaks.php?page=11,,
http://csgameservs.com,http://siph0n.net/exploits.php?id=3820,http://siph0n.net/leaks.php?page=11,,
http://csi.dcs.gla.ac.uk,http://siph0n.net/exploits.php?id=4154,http://siph0n.net/leaks.php?page=8,,
http://ctf365.com,http://siph0n.net/exploits.php?id=3617,http://siph0n.net/leaks.php?page=12,,
