"breachdates","published_mo_yr","domain","hacker","records","sourcetype"
"2017-05-03T00:00:00.000Z","2017-05-01T00:00:00.000Z","scientificgames.com",,,"news"
"2018-09-05T00:00:00.000Z","2018-10-01T00:00:00.000Z","gmlawvt.com",,,"official"
"2019-02-18T00:00:00.000Z","2019-05-01T00:00:00.000Z","facilitysite.com",,,"official"
"2017-05-25T00:00:00.000Z","2017-09-01T00:00:00.000Z","santanderbank.com",,,"news"
"2017-08-28T00:00:00.000Z","2017-09-01T00:00:00.000Z","perfectserve.com",,,"official"
"2018-01-31T00:00:00.000Z","2018-03-01T00:00:00.000Z","southpointfinancial.com",,,"official"
"2016-09-17T00:00:00.000Z","2017-09-01T00:00:00.000Z","bestwestern.com","",0,"official"
"2016-12-27T00:00:00.000Z","2017-06-01T00:00:00.000Z","shoneys.com",,,"news"
"2018-04-06T00:00:00.000Z","2018-04-01T00:00:00.000Z","walgreens.com",,,"official"
"2017-05-16T00:00:00.000Z","2017-08-01T00:00:00.000Z","gtdist.com",,,"official"
"2018-09-06T00:00:00.000Z","2019-03-01T00:00:00.000Z","firstbankal.com",,,"official"
"2018-04-24T00:00:00.000Z","2018-05-01T00:00:00.000Z","starrcompanies.com",,,"news"
"2017-03-01T00:00:00.000Z","2017-03-01T00:00:00.000Z","canconnects.org",,,"official"
"2017-02-06T00:00:00.000Z","2017-02-01T00:00:00.000Z","sdcc.edu",,,"official"
"2018-01-30T00:00:00.000Z","2018-02-01T00:00:00.000Z","cityofkeokuk.org",,,"news"
"2017-06-01T00:00:00.000Z","2017-08-01T00:00:00.000Z","snhu.edu",,,"official"
"2019-05-16T00:00:00.000Z","2019-05-01T00:00:00.000Z","rapidscale.net",,,"official"
"2017-08-18T00:00:00.000Z","2017-08-01T00:00:00.000Z","jenu.unknown","",0,"official"
"2017-10-01T00:00:00.000Z","2018-02-01T00:00:00.000Z","alcova.com",,,"official"
