dump_name,breach_date,record_count,source
Weddbook.com,2020-03,41369,LeakCheck.io
BlackSpigot.com,2019-07,135287,LeakCheck.io
Minube.com,,1034491,LeakCheck.io
Zomato.com,2017-05,16474235,LeakCheck.io
Epicbot.com,2019-09,813444,LeakCheck.io
GoGames.me,2015-09,3431115,LeakCheck.io
Kotofoto.ru,2019-11,15671,LeakCheck.io
Nexva.com,2020-01,95327,LeakCheck.io
Socialengineered.net,2019-05,35337,LeakCheck.io
360icons.com,2013-10,101772,LeakCheck.io
PocketGamer.co.uk,2017-11,62575,LeakCheck.io
PokeCommunity.com,2012-12,330079,LeakCheck.io
LyricsMania.com,2017-11,109205,LeakCheck.io
LeoTVHD.com,2016-11,24128,LeakCheck.io
Mathway.com,2020-01,15972265,LeakCheck.io
PoliceOne.com,2014-07,709116,LeakCheck.io
SaintsCraft,2020-05,2987,LeakCheck.io
mariage.fr,2017-11,27980,LeakCheck.io
newseasims.com,2016-07,55913,LeakCheck.io
Pasteware.team,2020-03,1632,LeakCheck.io
Fling.com,2011-03,40724493,LeakCheck.io
JobTH.com,2018-11,2378161,LeakCheck.io
Raetsel.de,2016-07,28474,LeakCheck.io
CouponMom / ArmorGames,2014-02,16470415,LeakCheck.io
FunFaceCam.com,2019-09,22946,LeakCheck.io
Foodora.com,2016-04,378158,LeakCheck.io
Avito.ru,2016-11,28110561,LeakCheck.io
TheFaveApp.com,2015-11,385143,LeakCheck.io
VipHackForums.net,2013-11,35055,LeakCheck.io
Forum.CallOfGods.com,2017-01,636296,LeakCheck.io
LeKoolGames.com,2019-12,4480836,LeakCheck.io
BellTreeForums.com,2015-11,53835,LeakCheck.io
IllegalPlanet.com,2020-05,43623,LeakCheck.io
Dirtycode.io,2020-05,22250,LeakCheck.io
PlanetCalypso.com,2019-07,62172,LeakCheck.io
MeFeedia.com,2020-04,2125051,LeakCheck.io
SwordFantasy,2016-11,2705674,LeakCheck.io
HackForums.net,2011-06,220593,LeakCheck.io
Gigasize.com,,1886054,LeakCheck.io
DayCrafts.ru,2016-10,51058,LeakCheck.io
Tamodo.com,2020-01,494409,LeakCheck.io
TGBUS.com,2016-11,10628044,LeakCheck.io
